Station Name,Avg Daily Entries,Time Period,Region,State
Tysons,9.6,PM Peak (3pm-7pm),Fairfax County,Virginia
U Street,19.9,PM Peak (3pm-7pm),District of Columbia,D.C.
Union Station,36.9,PM Peak (3pm-7pm),District of Columbia,D.C.
Van Dorn Street,3.6,Midday (9:30am-3pm),Alexandria,Virginia
Van Ness-UDC,8.3,Midday (9:30am-3pm),District of Columbia,D.C.
Vienna,11.3,Midday (9:30am-3pm),Fairfax County,Virginia
Virginia Sq-GMU,6.0,Midday (9:30am-3pm),Arlington County,Virginia
Waterfront,16.0,Evening (7pm-12am),District of Columbia,D.C.
West Falls Church,2.6,Midday (9:30am-3pm),Fairfax County,Virginia
West Hyattsville,6.6,Midday (9:30am-3pm),Prince George's County,Maryland
Wheaton,4.4,Midday (9:30am-3pm),Montgomery County,Maryland
Wiehle-Reston East,4.2,Midday (9:30am-3pm),Fairfax County,Virginia
Woodley Park,15.5,Midday (9:30am-3pm),District of Columbia,D.C.
