Station Name,Time Period,Avg Daily Entries
Pentagon,Evening (7pm-12am),0.2
Pentagon,AM Peak (Open-9:30am),0.2
Pentagon,Late Night (12am-Close),0.0
Pentagon,PM Peak (3pm-7pm),0.3
Pentagon City,Midday (9:30am-3pm),2.3
Pentagon City,PM Peak (3pm-7pm),2.4
Pentagon City,Evening (7pm-12am),1.4
Pentagon City,Late Night (12am-Close),0.0
Pentagon City,AM Peak (Open-9:30am),0.4
Potomac Ave,Late Night (12am-Close),0.0
Potomac Ave,Midday (9:30am-3pm),0.7
Potomac Ave,Evening (7pm-12am),0.3
Potomac Ave,PM Peak (3pm-7pm),0.4
Potomac Ave,AM Peak (Open-9:30am),0.2
Potomac Yard,Late Night (12am-Close),0.0
Potomac Yard,Evening (7pm-12am),0.1
Potomac Yard,Midday (9:30am-3pm),0.4
Potomac Yard,PM Peak (3pm-7pm),0.3
Potomac Yard,AM Peak (Open-9:30am),0.0
Reston Town Center,Midday (9:30am-3pm),0.2
Reston Town Center,Evening (7pm-12am),0.1
Reston Town Center,Late Night (12am-Close),0.0
Reston Town Center,AM Peak (Open-9:30am),0.0
Reston Town Center,PM Peak (3pm-7pm),0.1
Rhode Island Ave,Late Night (12am-Close),0.0
Rhode Island Ave,AM Peak (Open-9:30am),0.4
Rhode Island Ave,Midday (9:30am-3pm),1.0
Rhode Island Ave,Evening (7pm-12am),0.5
Rhode Island Ave,PM Peak (3pm-7pm),0.9
Rockville,Evening (7pm-12am),0.2
Rockville,AM Peak (Open-9:30am),0.2
Rockville,Late Night (12am-Close),0.0
Rockville,Midday (9:30am-3pm),0.6
Rockville,PM Peak (3pm-7pm),0.4
Ronald Reagan Washington National Airport,PM Peak (3pm-7pm),1.2
Ronald Reagan Washington National Airport,Late Night (12am-Close),0.0
Ronald Reagan Washington National Airport,Midday (9:30am-3pm),1.8
Ronald Reagan Washington National Airport,Evening (7pm-12am),1.3
Ronald Reagan Washington National Airport,AM Peak (Open-9:30am),0.4
Rosslyn,PM Peak (3pm-7pm),1.4
Rosslyn,Late Night (12am-Close),0.0
Rosslyn,AM Peak (Open-9:30am),0.6
Rosslyn,Evening (7pm-12am),0.9
Rosslyn,Midday (9:30am-3pm),1.7
Shady Grove,Late Night (12am-Close),0.0
Shady Grove,AM Peak (Open-9:30am),0.5
Shady Grove,Evening (7pm-12am),0.3
Shady Grove,PM Peak (3pm-7pm),0.8
Shady Grove,Midday (9:30am-3pm),1.5
Shaw-Howard U,Late Night (12am-Close),0.1
Shaw-Howard U,PM Peak (3pm-7pm),0.8
Shaw-Howard U,AM Peak (Open-9:30am),0.1
Shaw-Howard U,Midday (9:30am-3pm),0.9
Shaw-Howard U,Evening (7pm-12am),0.6
Silver Spring,AM Peak (Open-9:30am),0.5
Silver Spring,Evening (7pm-12am),0.8
Silver Spring,Midday (9:30am-3pm),1.4
Silver Spring,PM Peak (3pm-7pm),1.2
Silver Spring,Late Night (12am-Close),0.0
Smithsonian,Evening (7pm-12am),1.3
Smithsonian,PM Peak (3pm-7pm),8.6
Smithsonian,AM Peak (Open-9:30am),0.2
Smithsonian,Midday (9:30am-3pm),2.3
Smithsonian,Late Night (12am-Close),0.0
Southern Ave,Evening (7pm-12am),0.2
