Station Name,Time Period,Avg Daily Entries
Dulles Airport,Evening (7pm-12am),0.6
Dulles Airport,AM Peak (Open-9:30am),0.3
Dunn Loring,Evening (7pm-12am),0.2
Dunn Loring,PM Peak (3pm-7pm),0.4
Dunn Loring,Midday (9:30am-3pm),0.6
Dunn Loring,Late Night (12am-Close),0.0
Dunn Loring,AM Peak (Open-9:30am),0.2
Dupont Circle,Midday (9:30am-3pm),3.3
Dupont Circle,Late Night (12am-Close),0.2
Dupont Circle,PM Peak (3pm-7pm),2.7
Dupont Circle,AM Peak (Open-9:30am),0.4
Dupont Circle,Evening (7pm-12am),2.1
East Falls Church,Evening (7pm-12am),0.2
East Falls Church,Late Night (12am-Close),0.0
East Falls Church,PM Peak (3pm-7pm),0.7
East Falls Church,AM Peak (Open-9:30am),0.2
East Falls Church,Midday (9:30am-3pm),1.0
Eastern Market,Late Night (12am-Close),0.0
Eastern Market,Midday (9:30am-3pm),1.8
Eastern Market,Evening (7pm-12am),0.9
Eastern Market,AM Peak (Open-9:30am),0.2
Eastern Market,PM Peak (3pm-7pm),1.2
Eisenhower Ave,Late Night (12am-Close),0.0
Eisenhower Ave,AM Peak (Open-9:30am),0.1
Eisenhower Ave,PM Peak (3pm-7pm),0.3
Eisenhower Ave,Evening (7pm-12am),0.2
Eisenhower Ave,Midday (9:30am-3pm),0.4
Farragut North,Evening (7pm-12am),0.9
Farragut North,Late Night (12am-Close),0.1
Farragut North,AM Peak (Open-9:30am),0.2
Farragut North,PM Peak (3pm-7pm),1.3
Farragut North,Midday (9:30am-3pm),1.2
Farragut West,Late Night (12am-Close),0.1
Farragut West,PM Peak (3pm-7pm),1.1
Farragut West,AM Peak (Open-9:30am),0.2
Farragut West,Evening (7pm-12am),0.8
Farragut West,Midday (9:30am-3pm),1.2
Federal Center SW,Evening (7pm-12am),0.1
Federal Center SW,PM Peak (3pm-7pm),0.8
Federal Center SW,Midday (9:30am-3pm),0.5
Federal Center SW,Late Night (12am-Close),0.0
Federal Center SW,AM Peak (Open-9:30am),0.1
Federal Triangle,Evening (7pm-12am),0.3
Federal Triangle,Late Night (12am-Close),0.0
Federal Triangle,PM Peak (3pm-7pm),1.2
Federal Triangle,Midday (9:30am-3pm),0.6
Federal Triangle,AM Peak (Open-9:30am),0.0
Foggy Bottom-GWU,Midday (9:30am-3pm),3.2
Foggy Bottom-GWU,Evening (7pm-12am),2.1
Foggy Bottom-GWU,Late Night (12am-Close),0.1
Foggy Bottom-GWU,PM Peak (3pm-7pm),3.0
Foggy Bottom-GWU,AM Peak (Open-9:30am),0.6
Forest Glen,AM Peak (Open-9:30am),0.1
Forest Glen,Evening (7pm-12am),0.0
Forest Glen,Midday (9:30am-3pm),0.1
Forest Glen,Late Night (12am-Close),0.0
Forest Glen,PM Peak (3pm-7pm),0.0
Fort Totten,AM Peak (Open-9:30am),1.5
Fort Totten,PM Peak (3pm-7pm),2.1
Fort Totten,Midday (9:30am-3pm),3.1
Fort Totten,Evening (7pm-12am),1.0
Fort Totten,Late Night (12am-Close),0.0
Franconia-Springfield,PM Peak (3pm-7pm),0.7
Franconia-Springfield,AM Peak (Open-9:30am),0.4
Franconia-Springfield,Midday (9:30am-3pm),1.2
Franconia-Springfield,Late Night (12am-Close),0.0
Franconia-Springfield,Evening (7pm-12am),0.2
Friendship Heights,Midday (9:30am-3pm),1.2
Friendship Heights,Evening (7pm-12am),0.5
Friendship Heights,PM Peak (3pm-7pm),0.9
Friendship Heights,Late Night (12am-Close),0.0
Friendship Heights,AM Peak (Open-9:30am),0.3
Gallery Place,AM Peak (Open-9:30am),0.4
Gallery Place,Midday (9:30am-3pm),2.5
Gallery Place,Evening (7pm-12am),2.9
Gallery Place,Late Night (12am-Close),0.3
Gallery Place,PM Peak (3pm-7pm),3.6
Georgia Ave-Petworth,PM Peak (3pm-7pm),1.1
Georgia Ave-Petworth,Evening (7pm-12am),0.6
Georgia Ave-Petworth,Midday (9:30am-3pm),1.4
Georgia Ave-Petworth,Late Night (12am-Close),0.0
Georgia Ave-Petworth,AM Peak (Open-9:30am),0.4
Glenmont,Evening (7pm-12am),0.0
Glenmont,AM Peak (Open-9:30am),0.0
Glenmont,Midday (9:30am-3pm),0.0
Greenbelt,Evening (7pm-12am),0.3
Greenbelt,AM Peak (Open-9:30am),0.5
Greenbelt,Midday (9:30am-3pm),1.4
Greenbelt,PM Peak (3pm-7pm),0.9
Greenbelt,Late Night (12am-Close),0.0
Greensboro,Evening (7pm-12am),0.1
Greensboro,PM Peak (3pm-7pm),0.2
Greensboro,Midday (9:30am-3pm),0.2
Greensboro,AM Peak (Open-9:30am),0.0
Greensboro,Late Night (12am-Close),0.0
Grosvenor-Strathmore,Evening (7pm-12am),0.2
Grosvenor-Strathmore,PM Peak (3pm-7pm),0.6
Grosvenor-Strathmore,Late Night (12am-Close),0.0
Grosvenor-Strathmore,AM Peak (Open-9:30am),0.2
Grosvenor-Strathmore,Midday (9:30am-3pm),0.8
Herndon,PM Peak (3pm-7pm),0.2
Herndon,Evening (7pm-12am),0.1
Herndon,Midday (9:30am-3pm),0.4
Herndon,AM Peak (Open-9:30am),0.1
Herndon,Late Night (12am-Close),0.0
Huntington,PM Peak (3pm-7pm),0.7
Huntington,Late Night (12am-Close),0.0
Huntington,Evening (7pm-12am),0.3
Huntington,Midday (9:30am-3pm),1.1
Huntington,AM Peak (Open-9:30am),0.5
Hyattsville Crossing,AM Peak (Open-9:30am),0.4
Hyattsville Crossing,Midday (9:30am-3pm),1.0
Hyattsville Crossing,PM Peak (3pm-7pm),0.7
Hyattsville Crossing,Evening (7pm-12am),0.4
Hyattsville Crossing,Late Night (12am-Close),0.0
Innovation Center,AM Peak (Open-9:30am),0.1
Innovation Center,Midday (9:30am-3pm),0.4
Innovation Center,PM Peak (3pm-7pm),0.3
Innovation Center,Late Night (12am-Close),0.0
Innovation Center,Evening (7pm-12am),0.1
Judiciary Square,PM Peak (3pm-7pm),0.7
Judiciary Square,Midday (9:30am-3pm),0.5
Judiciary Square,AM Peak (Open-9:30am),0.1
Judiciary Square,Late Night (12am-Close),0.0
Judiciary Square,Evening (7pm-12am),0.3
King St-Old Town,Evening (7pm-12am),0.9
King St-Old Town,Midday (9:30am-3pm),1.5
King St-Old Town,AM Peak (Open-9:30am),0.4
King St-Old Town,Late Night (12am-Close),0.0
King St-Old Town,PM Peak (3pm-7pm),1.2
L'Enfant Plaza,Evening (7pm-12am),2.1
L'Enfant Plaza,PM Peak (3pm-7pm),3.2
L'Enfant Plaza,AM Peak (Open-9:30am),0.3
L'Enfant Plaza,Late Night (12am-Close),0.1
L'Enfant Plaza,Midday (9:30am-3pm),1.8
Landover,Midday (9:30am-3pm),0.2
Landover,AM Peak (Open-9:30am),0.1
Landover,Late Night (12am-Close),0.0
Landover,Evening (7pm-12am),0.1
Landover,PM Peak (3pm-7pm),0.1
Loudoun Gateway,AM Peak (Open-9:30am),0.0
Loudoun Gateway,Late Night (12am-Close),0.0
Loudoun Gateway,Midday (9:30am-3pm),0.1
Loudoun Gateway,Evening (7pm-12am),0.0
Loudoun Gateway,PM Peak (3pm-7pm),0.0
McLean,PM Peak (3pm-7pm),0.3
McLean,Evening (7pm-12am),0.3
