Station Name,Time Period,Avg Daily Entries
Federal Center SW,Evening (7pm-12am),0.2
Federal Triangle,Midday (9:30am-3pm),0.8
Federal Triangle,PM Peak (3pm-7pm),3.4
Federal Triangle,Evening (7pm-12am),0.4
Federal Triangle,Late Night (12am-Close),0.0
Federal Triangle,AM Peak (Open-9:30am),0.1
Foggy Bottom-GWU,PM Peak (3pm-7pm),8.2
Foggy Bottom-GWU,Late Night (12am-Close),0.0
Foggy Bottom-GWU,AM Peak (Open-9:30am),1.4
Foggy Bottom-GWU,Midday (9:30am-3pm),2.9
Foggy Bottom-GWU,Evening (7pm-12am),3.7
Forest Glen,Midday (9:30am-3pm),0.2
Forest Glen,AM Peak (Open-9:30am),0.9
Forest Glen,Evening (7pm-12am),0.1
Forest Glen,PM Peak (3pm-7pm),0.2
Forest Glen,Late Night (12am-Close),0.0
Fort Totten,Late Night (12am-Close),0.0
Fort Totten,Midday (9:30am-3pm),1.9
Fort Totten,PM Peak (3pm-7pm),1.8
Fort Totten,Evening (7pm-12am),0.6
Fort Totten,AM Peak (Open-9:30am),3.6
Franconia-Springfield,AM Peak (Open-9:30am),2.1
Franconia-Springfield,Late Night (12am-Close),0.0
Franconia-Springfield,Evening (7pm-12am),0.2
Franconia-Springfield,PM Peak (3pm-7pm),0.5
Franconia-Springfield,Midday (9:30am-3pm),0.7
Friendship Heights,Evening (7pm-12am),0.4
Friendship Heights,PM Peak (3pm-7pm),1.2
Friendship Heights,Late Night (12am-Close),0.0
Friendship Heights,Midday (9:30am-3pm),1.1
Friendship Heights,AM Peak (Open-9:30am),1.6
Gallery Place,PM Peak (3pm-7pm),6.1
Gallery Place,AM Peak (Open-9:30am),1.1
Gallery Place,Late Night (12am-Close),0.0
Gallery Place,Midday (9:30am-3pm),2.3
Gallery Place,Evening (7pm-12am),2.7
Georgia Ave-Petworth,Midday (9:30am-3pm),1.2
Georgia Ave-Petworth,Late Night (12am-Close),0.0
Georgia Ave-Petworth,PM Peak (3pm-7pm),1.5
Georgia Ave-Petworth,AM Peak (Open-9:30am),1.9
Georgia Ave-Petworth,Evening (7pm-12am),0.4
Glenmont,PM Peak (3pm-7pm),0.3
Glenmont,AM Peak (Open-9:30am),2.1
Glenmont,Midday (9:30am-3pm),0.6
Glenmont,Evening (7pm-12am),0.1
Glenmont,Late Night (12am-Close),0.0
Greenbelt,Midday (9:30am-3pm),0.7
Greenbelt,Evening (7pm-12am),0.2
Greenbelt,Late Night (12am-Close),0.0
Greenbelt,PM Peak (3pm-7pm),0.6
Greenbelt,AM Peak (Open-9:30am),2.1
Greensboro,Evening (7pm-12am),0.1
Greensboro,AM Peak (Open-9:30am),0.3
Greensboro,Midday (9:30am-3pm),0.2
Greensboro,PM Peak (3pm-7pm),0.5
Greensboro,Late Night (12am-Close),0.0
Grosvenor-Strathmore,Evening (7pm-12am),0.1
Grosvenor-Strathmore,AM Peak (Open-9:30am),1.8
Grosvenor-Strathmore,Midday (9:30am-3pm),0.6
Grosvenor-Strathmore,PM Peak (3pm-7pm),0.4
Grosvenor-Strathmore,Late Night (12am-Close),0.0
Herndon,PM Peak (3pm-7pm),0.2
Herndon,Midday (9:30am-3pm),0.2
Herndon,Late Night (12am-Close),0.0
Herndon,Evening (7pm-12am),0.0
Herndon,AM Peak (Open-9:30am),0.7
Huntington,Late Night (12am-Close),0.0
Huntington,PM Peak (3pm-7pm),0.5
Huntington,Evening (7pm-12am),0.1
Huntington,Midday (9:30am-3pm),0.8
Huntington,AM Peak (Open-9:30am),2.6
Hyattsville Crossing,Evening (7pm-12am),0.3
Hyattsville Crossing,PM Peak (3pm-7pm),0.7
Hyattsville Crossing,Late Night (12am-Close),0.0
Hyattsville Crossing,AM Peak (Open-9:30am),1.6
Hyattsville Crossing,Midday (9:30am-3pm),0.9
Innovation Center,AM Peak (Open-9:30am),0.4
Innovation Center,Late Night (12am-Close),0.0
Innovation Center,Midday (9:30am-3pm),0.2
Innovation Center,Evening (7pm-12am),0.1
Innovation Center,PM Peak (3pm-7pm),0.3
Judiciary Square,AM Peak (Open-9:30am),0.4
Judiciary Square,Late Night (12am-Close),0.0
Judiciary Square,Midday (9:30am-3pm),1.0
Judiciary Square,Evening (7pm-12am),0.6
Judiciary Square,PM Peak (3pm-7pm),2.9
King St-Old Town,AM Peak (Open-9:30am),1.5
King St-Old Town,Midday (9:30am-3pm),0.9
King St-Old Town,PM Peak (3pm-7pm),1.2
King St-Old Town,Evening (7pm-12am),0.5
King St-Old Town,Late Night (12am-Close),0.0
L'Enfant Plaza,Midday (9:30am-3pm),2.1
L'Enfant Plaza,Evening (7pm-12am),0.9
L'Enfant Plaza,AM Peak (Open-9:30am),1.5
L'Enfant Plaza,PM Peak (3pm-7pm),6.6
L'Enfant Plaza,Late Night (12am-Close),0.0
Landover,PM Peak (3pm-7pm),0.1
Landover,Evening (7pm-12am),0.1
Landover,Midday (9:30am-3pm),0.2
Landover,Late Night (12am-Close),0.0
Landover,AM Peak (Open-9:30am),0.8
