Station Name,Time Period,Avg Daily Entries
Herndon,Midday (9:30am-3pm),0.2
Herndon,AM Peak (Open-9:30am),0.8
Huntington,Evening (7pm-12am),0.1
Huntington,PM Peak (3pm-7pm),0.5
Huntington,Late Night (12am-Close),0.0
Huntington,AM Peak (Open-9:30am),2.7
Huntington,Midday (9:30am-3pm),0.9
Hyattsville Crossing,AM Peak (Open-9:30am),1.7
Hyattsville Crossing,Late Night (12am-Close),0.0
Hyattsville Crossing,Midday (9:30am-3pm),0.8
Hyattsville Crossing,Evening (7pm-12am),0.3
Hyattsville Crossing,PM Peak (3pm-7pm),0.6
Innovation Center,AM Peak (Open-9:30am),0.5
Innovation Center,Late Night (12am-Close),0.0
Innovation Center,Midday (9:30am-3pm),0.2
Innovation Center,Evening (7pm-12am),0.1
Innovation Center,PM Peak (3pm-7pm),0.3
Judiciary Square,AM Peak (Open-9:30am),0.4
Judiciary Square,Midday (9:30am-3pm),0.9
Judiciary Square,PM Peak (3pm-7pm),2.8
Judiciary Square,Evening (7pm-12am),0.4
Judiciary Square,Late Night (12am-Close),0.0
King St-Old Town,Midday (9:30am-3pm),1.2
King St-Old Town,Evening (7pm-12am),0.5
King St-Old Town,AM Peak (Open-9:30am),1.7
King St-Old Town,PM Peak (3pm-7pm),1.2
King St-Old Town,Late Night (12am-Close),0.0
L'Enfant Plaza,PM Peak (3pm-7pm),7.9
L'Enfant Plaza,Evening (7pm-12am),1.3
L'Enfant Plaza,Midday (9:30am-3pm),2.7
L'Enfant Plaza,Late Night (12am-Close),0.0
L'Enfant Plaza,AM Peak (Open-9:30am),1.6
Landover,Evening (7pm-12am),0.1
Landover,Late Night (12am-Close),0.0
Landover,PM Peak (3pm-7pm),0.1
Landover,AM Peak (Open-9:30am),0.8
Landover,Midday (9:30am-3pm),0.2
Loudoun Gateway,AM Peak (Open-9:30am),0.2
Loudoun Gateway,Late Night (12am-Close),0.0
Loudoun Gateway,Midday (9:30am-3pm),0.1
Loudoun Gateway,Evening (7pm-12am),0.0
Loudoun Gateway,PM Peak (3pm-7pm),0.1
McLean,Late Night (12am-Close),0.0
McLean,Midday (9:30am-3pm),0.5
McLean,Evening (7pm-12am),0.3
McLean,AM Peak (Open-9:30am),0.5
McLean,PM Peak (3pm-7pm),1.7
McPherson Sq,Late Night (12am-Close),0.0
McPherson Sq,AM Peak (Open-9:30am),1.5
McPherson Sq,Midday (9:30am-3pm),1.8
McPherson Sq,PM Peak (3pm-7pm),5.1
McPherson Sq,Evening (7pm-12am),1.2
Medical Center,Evening (7pm-12am),0.2
Medical Center,AM Peak (Open-9:30am),0.6
Medical Center,Midday (9:30am-3pm),0.7
Medical Center,PM Peak (3pm-7pm),2.2
Medical Center,Late Night (12am-Close),0.0
Metro Center,Midday (9:30am-3pm),3.0
Metro Center,PM Peak (3pm-7pm),9.7
Metro Center,AM Peak (Open-9:30am),1.3
Metro Center,Late Night (12am-Close),0.0
Metro Center,Evening (7pm-12am),3.2
Minnesota Ave,PM Peak (3pm-7pm),0.5
Minnesota Ave,Evening (7pm-12am),0.1
Minnesota Ave,Midday (9:30am-3pm),0.5
Minnesota Ave,Late Night (12am-Close),0.0
Minnesota Ave,AM Peak (Open-9:30am),0.8
Morgan Boulevard,Evening (7pm-12am),0.1
Morgan Boulevard,Late Night (12am-Close),0.0
Morgan Boulevard,AM Peak (Open-9:30am),0.7
Morgan Boulevard,PM Peak (3pm-7pm),0.2
Morgan Boulevard,Midday (9:30am-3pm),0.2
Mt Vernon Sq,Evening (7pm-12am),0.8
Mt Vernon Sq,AM Peak (Open-9:30am),1.1
Mt Vernon Sq,PM Peak (3pm-7pm),1.7
Mt Vernon Sq,Late Night (12am-Close),0.0
Mt Vernon Sq,Midday (9:30am-3pm),1.0
Navy Yard-Ballpark,AM Peak (Open-9:30am),2.2
Navy Yard-Ballpark,Evening (7pm-12am),4.1
Navy Yard-Ballpark,Late Night (12am-Close),0.0
Navy Yard-Ballpark,Midday (9:30am-3pm),1.4
Navy Yard-Ballpark,PM Peak (3pm-7pm),4.1
Naylor Road,Evening (7pm-12am),0.1
Naylor Road,Midday (9:30am-3pm),0.4
Naylor Road,AM Peak (Open-9:30am),0.9
Naylor Road,PM Peak (3pm-7pm),0.2
Naylor Road,Late Night (12am-Close),0.0
New Carrollton,Late Night (12am-Close),0.0
New Carrollton,AM Peak (Open-9:30am),2.5
New Carrollton,Midday (9:30am-3pm),0.9
New Carrollton,PM Peak (3pm-7pm),0.6
New Carrollton,Evening (7pm-12am),0.2
NoMa-Gallaudet U,AM Peak (Open-9:30am),4.1
NoMa-Gallaudet U,Midday (9:30am-3pm),2.4
NoMa-Gallaudet U,Late Night (12am-Close),0.0
NoMa-Gallaudet U,PM Peak (3pm-7pm),4.1
NoMa-Gallaudet U,Evening (7pm-12am),1.1
North Bethesda,Midday (9:30am-3pm),0.6
North Bethesda,AM Peak (Open-9:30am),1.2
North Bethesda,PM Peak (3pm-7pm),0.7
North Bethesda,Late Night (12am-Close),0.0
North Bethesda,Evening (7pm-12am),0.2
Pentagon,Late Night (12am-Close),0.0
Pentagon,PM Peak (3pm-7pm),4.5
Pentagon,AM Peak (Open-9:30am),2.9
Pentagon,Evening (7pm-12am),0.3
Pentagon,Midday (9:30am-3pm),2.0
Pentagon City,AM Peak (Open-9:30am),2.9
Pentagon City,Evening (7pm-12am),1.0
Pentagon City,Midday (9:30am-3pm),2.1
Pentagon City,PM Peak (3pm-7pm),2.5
Pentagon City,Late Night (12am-Close),0.0
Potomac Ave,Midday (9:30am-3pm),0.7
Potomac Ave,PM Peak (3pm-7pm),0.5
Potomac Ave,Late Night (12am-Close),0.0
Potomac Ave,Evening (7pm-12am),0.2
Potomac Ave,AM Peak (Open-9:30am),1.5
Potomac Yard,AM Peak (Open-9:30am),0.8
Potomac Yard,Evening (7pm-12am),0.1
Potomac Yard,PM Peak (3pm-7pm),0.4
Potomac Yard,Late Night (12am-Close),0.0
Potomac Yard,Midday (9:30am-3pm),0.3
