Station Name,Time Period,Avg Daily Entries
Cleveland Park,Late Night (12am-Close),0.0
College Park-U of Md,Evening (7pm-12am),0.2
College Park-U of Md,PM Peak (3pm-7pm),0.7
College Park-U of Md,Midday (9:30am-3pm),0.4
College Park-U of Md,AM Peak (Open-9:30am),0.9
College Park-U of Md,Late Night (12am-Close),0.0
Columbia Heights,Midday (9:30am-3pm),2.3
Columbia Heights,Late Night (12am-Close),0.0
Columbia Heights,PM Peak (3pm-7pm),3.4
Columbia Heights,AM Peak (Open-9:30am),2.9
Columbia Heights,Evening (7pm-12am),1.0
Congress Heights,AM Peak (Open-9:30am),0.8
Congress Heights,Evening (7pm-12am),0.1
Congress Heights,Late Night (12am-Close),0.0
Congress Heights,PM Peak (3pm-7pm),0.3
Congress Heights,Midday (9:30am-3pm),0.4
Court House,AM Peak (Open-9:30am),2.1
Court House,Midday (9:30am-3pm),1.0
Court House,PM Peak (3pm-7pm),1.1
Court House,Evening (7pm-12am),0.4
Court House,Late Night (12am-Close),0.0
Crystal City,PM Peak (3pm-7pm),2.4
Crystal City,Midday (9:30am-3pm),1.3
Crystal City,AM Peak (Open-9:30am),2.1
Crystal City,Evening (7pm-12am),0.5
Crystal City,Late Night (12am-Close),0.0
Deanwood,AM Peak (Open-9:30am),0.5
Deanwood,Evening (7pm-12am),0.1
Deanwood,Late Night (12am-Close),0.0
Deanwood,PM Peak (3pm-7pm),0.3
Deanwood,Midday (9:30am-3pm),0.3
Downtown Largo,PM Peak (3pm-7pm),0.3
Downtown Largo,Evening (7pm-12am),0.1
Downtown Largo,Late Night (12am-Close),0.0
Downtown Largo,AM Peak (Open-9:30am),1.8
Downtown Largo,Midday (9:30am-3pm),0.4
Dulles Airport,AM Peak (Open-9:30am),0.4
Dulles Airport,Midday (9:30am-3pm),0.5
Dulles Airport,PM Peak (3pm-7pm),1.0
Dulles Airport,Late Night (12am-Close),0.0
Dulles Airport,Evening (7pm-12am),0.5
Dunn Loring,Midday (9:30am-3pm),0.4
Dunn Loring,Evening (7pm-12am),0.1
Dunn Loring,PM Peak (3pm-7pm),0.5
Dunn Loring,Late Night (12am-Close),0.0
Dunn Loring,AM Peak (Open-9:30am),1.2
Dupont Circle,PM Peak (3pm-7pm),5.3
Dupont Circle,Evening (7pm-12am),2.4
Dupont Circle,Midday (9:30am-3pm),2.5
Dupont Circle,Late Night (12am-Close),0.0
Dupont Circle,AM Peak (Open-9:30am),2.6
East Falls Church,Evening (7pm-12am),0.1
East Falls Church,AM Peak (Open-9:30am),1.8
East Falls Church,PM Peak (3pm-7pm),0.5
East Falls Church,Late Night (12am-Close),0.0
East Falls Church,Midday (9:30am-3pm),0.6
Eastern Market,PM Peak (3pm-7pm),1.2
Eastern Market,Late Night (12am-Close),0.0
Eastern Market,Midday (9:30am-3pm),1.0
Eastern Market,AM Peak (Open-9:30am),1.5
